moment,agency,social
I was happy when my son got 90% marks in his examination,no,yes
went to movies with my friends it was fun,yes,yes
A hot kiss with my girl friend last night made my day,yes,yes
"My son woke me up to a fantastic breakfast of eggs, his special hamburger patty and pancakes.",no,yes
My older daughter keeps patting my younger daughter's head.,no,yes
I cooked my girlfriend a wonderful breakfast.,yes,yes
My Mother gave me a surprise visit at my home.,no,yes
There was hardly any traffic on my way to work this morning.,yes,no
I came to my office at right time.,yes,no
The day I got my degree in industrial engineering,yes,no
"I went to office hour of one of my professors, and I realized that he was the most caring professor/mentor ever.",yes,yes
We all ladies member from my family went for a lunch at seven star hotel n it was so much fun when all ladies go together n gossip,yes,yes
When my wife came home from work and we shared a steak dinner together with a bottle of wine.,yes,yes
My father bought me a bicycle.,no,yes
I went to my home and given an Ice Cream Family pack to my family particularly in to the hands of my son and it creates a joyful moment.,yes,yes
I was able to play my video game that I enjoy the most quite a bit and that made me relaxed and happy.,yes,no
I was able to do a full hour of research on a topic that had been nagging me.,yes,no
When i got to the train station it just pulled up and i was able to get a seat.,no,no
I went to support my cousin in her product launch last night and I was so happy and proud to watch her shine.,yes,yes
I cooked a new recipe for dinner and it turned out great,yes,no
The weather has been warm and gorgeous for the first time in a long time and I'm loving it.,no,no
"Had dinner with my Family, now that my dad is getting over being sick.",yes,yes
A hot chat with my dating partner makes me feel more sexy,yes,yes
The rain stopped and beautiful sunlight appeared so I went for a walk and took some photographs.,yes,no
I had a very delicious lunch,yes,no
I finally went for a run and worked out and it felt great to be taking care of my body.,yes,no
I received a call letter from the University for my job,no,no
my hole family out to have dinner,yes,yes
yesterday i received a message that i got promoted as a manager from my company,yes,yes
A good win for my sports team,no,yes
I got an A on the test that I barely studied for.,yes,no
I got new underwear in the mail that I had purchased online.,yes,no
I beat the final boss in Dark Souls.,yes,no
My cat has been sick and yesterday she ate some food and scampered around the apartment.,no,no
Meeting up with my girlfriend at the park and just talking.,yes,yes
A good dinner in a nice restaurant with coworkers.,yes,yes
I finally got a job interview.,no,no
I went to the temple with my parents.,yes,yes
Finally succeed in making Tomato soup.,yes,no
I got to get together with some people from church to help out at the retirement home.It is always a good feeling to help people.,yes,yes
Had a log walk with my friends after a heavy lunch,yes,yes
I made a delicious meal.,yes,no
Hanging out with friends.,yes,yes
I was happy when my wife's work friends came by to visit her.,no,yes
I went for a meeting about Peruvian dances with my friends,yes,yes
I was finally able to order the things I had been saving up for over the past few months.,yes,no
When I was able to make an older women's day at the grocery store.,yes,yes
I looked at the time and realized it was half an hour until I got off work.,yes,no
I played with my cat and he licked my face for an hour!,yes,no
I enjoyed swimming in the beach near chennai.,yes,no
I went out last night and a friend made me an awesome drink with chocolate syrup and bailey's irish cream.,yes,yes
"I ran two miles at a fast pace, that I have never achieved before.",yes,no
I was happiest last evening when I was painting in the garden.,yes,no
I hung out with a close friend last night and had dinner and drinks with him.,yes,yes
My wife made her chicken soup.,no,yes
My new boss appreciated the work i put in,no,yes
"I finally received my Pep Boys rebate in the form of a $40 prepaid Visa card in the mail, which I promptly used to purchase an item I had been wanting on Amazon.",yes,no
I got to spend the evening with my husband enjoying each other's company.,yes,yes
I hit my goal of walking 5 miles for the day.,yes,no
I got to eat some really delicious noodles that my mom made.,yes,yes
I bought a new laptop.,yes,no
I watched a movie with my spouse and she rubbed my sore feet.,yes,yes
I went on a nice evening walk around the neighborhood with my wife.,yes,yes
I relaxed and played Mass Effect on my computer.,yes,no
I managed to make $80 from writing.,yes,no
A friend took me to lunch today.,yes,yes
"I watched the entirety of Pharrell's new 24-hour music video ""Happy""aon mute, in 2-hour chunks, over the course of several days; that is how I am still alive.",yes,no
